code,title,block_type,description,activity_title,activity_id,options
dim_biensoc_27d,Percepción de seguridad,radio,,Actividades deportivas,29,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_27e,Precios y costos de servicios,radio,Son bajos y/o gratuitos,Actividades deportivas,29,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_27f,Espacio adecuado para la actividad,radio,,Actividades deportivas,29,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_27g,Limpieza al finalizar la actividad,radio,,Actividades deportivas,29,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_riesdes_29a,Selecciona el evento ocurrido y/o que sepas que ocurrió en este punto el último año.,radio,,Riesgo hidrometeorológico,31,"{'choices': [{'label': 'Inundación', 'value': 'INUNDACION'}, {'label': 'Sequía', 'value': 'SEQUIA'}, {'label': 'Ola de calor', 'value': 'OLA_CALOR'}, {'label': 'Rayos', 'value': 'RAYOS'}, {'label': 'Huracán (ciclón, tifón tropical)', 'value': 'HURACAN'}, {'label': 'Helada', 'value': 'HELADA'}, {'label': 'Tormenta de granizo', 'value': 'TORMENTA_GRANIZO'}, {'label': 'Tormenta de nieve', 'value': 'TORMENTA_NIEVE'}, {'label': 'Tormenta de polvo', 'value': 'TORMENTA_POLVO'}]}"
dim_riesdes_29b,¿Con qué frecuencia ha ocurrido este evento en el último año?,radio,,Riesgo hidrometeorológico,31,"{'choices': [{'label': 'Una vez al año', 'value': '1'}, {'label': 'De dos a cinco veces al año', 'value': '2_5'}, {'label': 'Más de cinco veces al año', 'value': '5_N'}]}"
dim_riesdes_29c,"Puentes, calles y otras vías públicas",radio,,Riesgo hidrometeorológico,31,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_riesdes_29d,Casas y edificios de vivienda,radio,,Riesgo hidrometeorológico,31,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_riesdes_29e,Edificios públicos,radio,"P.ej. hospitales, escuelas",Riesgo hidrometeorológico,31,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_riesdes_29f,Servicios públicos,radio,"Electricidad, agua potable",Riesgo hidrometeorológico,31,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_riesdes_29g,"Parques, áreas verdes y otros espacios al aire libre deteriorados",radio,,Riesgo hidrometeorológico,31,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_riesdes_33a,Selecciona los elementos presentes en la zona y evalúa su estado,radio,Puedes seleccionar más de uno.,Espacios de contingencia frente a catástrofes,35,"{'choices': [{'label': 'Clínicas y/o hospitales', 'value': 'HOSPITALES'}, {'label': 'Sitios de refugio temporal y/o centros comunitario para evacuación', 'value': 'REFUGIOS'}, {'label': 'Sistemas de alerta temprana (sensores y sirenas)', 'value': 'SISTEMAS_ALERTA'}, {'label': 'Zonas o puntos seguros ante una emergencia', 'value': 'PUNTOS_SEGUROS'}, {'label': 'Otro', 'value': 'OTRO'}]}"
dim_riesdes_33b,Otro,short_text,"Por favor, especifique.",Espacios de contingencia frente a catástrofes,35,
